Gene.refGene	clinvarNumB_LB_score	clinvarNumP_LP_score
OR4F5	0.125	0.0
SAMD11	0.3875	0.00125
NOC2L	0.20512820512820512	0.0
KLHL17	0.12048192771084337	0.012048192771084338
PLEKHN1	0.19387755102040816	0.0
PERM1	0.7142857142857143	0.2857142857142857
HES4	0.0	0.0
ISG15	0.4274193548387097	0.03225806451612903
AGRN	0.386299831555306	0.02807411566535654
RNF223	0.04878048780487805	0.0
C1orf159	0.0	0.0
TTLL10	0.13636363636363635	0.0
TNFRSF18	0.2727272727272727	0.0
TNFRSF4	0.35135135135135137	0.0045045045045045045
SDF4	0.07894736842105263	0.0
B3GALT6	0.3312883435582822	0.0705521472392638
C1QTNF12	0.08695652173913043	0.0
UBE2J2	0.0	0.0
SCNN1D	0.2571428571428571	0.0
ACAP3	0.047619047619047616	0.0
PUSL1	0.07894736842105263	0.0
INTS11	0.06451612903225806	0.08064516129032258
CPTP	0.2413793103448276	0.0
TAS1R3	0.19014084507042253	0.0
DVL1	0.4314516129032258	0.046370967741935484
DVL1;DVL1	1.0	0.0
MXRA8	0.25	0.020833333333333332
AURKAIP1	0.08333333333333333	0.0
CCNL2	0.11764705882352941	0.0
MRPL20	0.0625	0.0
ANKRD65	0.14035087719298245	0.0
TMEM88B	0.047619047619047616	0.0
VWA1	0.13095238095238096	0.19047619047619047
ATAD3C	0.09375	0.0
ATAD3B	0.16	0.0
ATAD3A	0.21031746031746032	0.0873015873015873
TMEM240	0.36666666666666664	0.03333333333333333
SSU72	0.0	0.0
MIB2	0.21374045801526717	0.0
MMP23B	0.14285714285714285	0.0
CDK11B	0.75	0.0
SLC35E2B	0.14705882352941177	0.0
CDK11A	0.11290322580645161	0.0
SLC35E2A	0.11538461538461539	0.0
NADK	0.2222222222222222	0.0
GNB1	0.47619047619047616	0.2077922077922078
CALML6	0.3	0.0
TMEM52	0.0	0.0
CFAP74	0.1326530612244898	0.07142857142857142
GABRD	0.41883116883116883	0.006493506493506494
PRKCZ	0.5454545454545454	0.0
FAAP20	0.2	0.0
SKI	0.4335378323108384	0.028629856850715747
MORN1	0.10714285714285714	0.0
RER1	0.0	0.0
PEX10	0.3463414634146341	0.1951219512195122
PEX10;PEX10	0.0	0.5
PLCH2	0.21637426900584794	0.0
PANK4	0.14285714285714285	0.0
HES5	0.13333333333333333	0.0
TNFRSF14	0.058823529411764705	0.0
PRXL2B	0.25	0.0
MMEL1	0.20253164556962025	0.0
TTC34	0.1267605633802817	0.0
ACTRT2	0.03333333333333333	0.0
PRDM16	0.3817097415506958	0.012922465208747515
ARHGEF16	0.07462686567164178	0.0
MEGF6	0.23333333333333334	0.0
TPRG1L	0.10526315789473684	0.0
WRAP73	0.047619047619047616	0.0
TP73	0.27586206896551724	0.06896551724137931
CCDC27	0.16923076923076924	0.0
SMIM1	0.2857142857142857	0.0
LRRC47	0.02857142857142857	0.0
CEP104	0.30980392156862746	0.11372549019607843
DFFB	0.05	0.0
C1orf174	0.0	0.0
AJAP1	0.09375	0.0
NPHP4	0.2403400309119011	0.08887171561051005
KCNAB2	0.5185185185185185	0.0
CHD5	0.12083333333333333	0.10833333333333334
RPL22	0.0	0.0
RNF207	0.06060606060606061	0.015151515151515152
ICMT	0.1	0.0
HES3	0.0625	0.0
GPR153	0.1125	0.0125
ACOT7	0.18518518518518517	0.0
HES2	0.0	0.0
ESPN	0.3433734939759036	0.060240963855421686
ESPN;ESPN	0.0	0.0
TNFRSF25	0.34210526315789475	0.0
PLEKHG5	0.384375	0.06979166666666667
NOL9	0.06666666666666667	0.0
TAS1R1	0.2222222222222222	0.0
ZBTB48	0.08571428571428572	0.0
KLHL21	0.19298245614035087	0.0
PHF13	0.11764705882352941	0.0
THAP3	0.0625	0.0
DNAJC11	0.05714285714285714	0.0
CAMTA1	0.35208711433756806	0.1306715063520871
VAMP3	0.0	0.0
PER3	0.3387096774193548	0.016129032258064516
PER3;PER3	1.0	0.0
UTS2	0.375	0.0
TNFRSF9	0.39814814814814814	0.09259259259259259
PARK7	0.18309859154929578	0.19718309859154928
ERRFI1	0.16	0.0
SLC45A1	0.40476190476190477	0.007936507936507936
RERE	0.36160714285714285	0.06547619047619048
ENO1	0.15	0.0
CA6	0.15	0.0
SLC2A7	0.16071428571428573	0.0
SLC2A5	0.12195121951219512	0.0
GPR157	0.034482758620689655	0.0
H6PD	0.4072164948453608	0.030927835051546393
SPSB1	0.16666666666666666	0.0
SLC25A33	0.14285714285714285	0.0
TMEM201	0.16666666666666666	0.0
PIK3CD	0.4685430463576159	0.024834437086092714
PIK3CD;PIK3CD	0.0	0.0
CLSTN1	0.13043478260869565	0.0
CTNNBIP1	0.0	0.0
LZIC	0.0	0.0
NMNAT1	0.2073170731707317	0.32926829268292684
RBP7	0.0	0.0
UBE4B	0.078125	0.0
KIF1B	0.3440514469453376	0.00040192926045016077
KIF1B;KIF1B	0.0	0.0
PGD	0.13793103448275862	0.0
CENPS;CENPS-CORT	0.0	0.0
CORT	0.3333333333333333	0.0
CENPS-CORT;CORT	0.0	0.0
DFFA	0.25	0.0
PEX14	0.3157894736842105	0.018575851393188854
CASZ1	0.45217391304347826	0.008695652173913044
C1orf127	0.2222222222222222	0.0
TARDBP	0.32116788321167883	0.1678832116788321
MASP2	0.2748091603053435	0.022900763358778626
SRM	0.125	0.0
EXOSC10	0.05660377358490566	0.0
EXOSC10;EXOSC10-AS1	0.0	0.0
MTOR	0.5051605504587156	0.027522935779816515
ANGPTL7	0.15384615384615385	0.0
UBIAD1	0.2608695652173913	0.2391304347826087
DISP3	0.7872340425531915	0.0
FBXO2	0.15384615384615385	0.0
FBXO44	0.2692307692307692	0.0
FBXO6	0.23809523809523808	0.0
MAD2L2	0.4794520547945205	0.0136986301369863
DRAXIN	0.18181818181818182	0.0
AGTRAP	0.16666666666666666	0.0
C1orf167	0.0	0.0
MTHFR	0.4484848484848485	0.2636363636363636
CLCN6	0.342327150084317	0.0
NPPA	0.32231404958677684	0.008264462809917356
NPPB	0.2777777777777778	0.0
KIAA2013	0.024390243902439025	0.0
PLOD1	0.37531486146095716	0.10201511335012595
MFN2	0.18858307849133538	0.18450560652395515
MIIP	0.32	0.0
TNFRSF8	0.25	0.0
TNFRSF1B	0.3333333333333333	0.0
VPS13D	0.3562992125984252	0.05019685039370079
DHRS3	0.1875	0.0
AADACL4	0.17073170731707318	0.0
AADACL3	0.05263157894736842	0.0
C1orf158	0.0	0.0
PRAMEF12	0.10526315789473684	0.0
PRAMEF1	0.13043478260869565	0.0
PRAMEF11	0.2037037037037037	0.0
HNRNPCL1	0.2631578947368421	0.0
