MIM Number	Approved Gene Symbol	Phenotypes
607413		
612367		{Alkaline phosphatase, plasma level of, QTL 2}, 612367 (2)
606788		{Anorexia nervosa, susceptibility to, 1}, 606788 (2)
605462		{Basal cell carcinoma, susceptibility to, 1}, 605462 (2)
606928		[Bone mineral density QTL 3], 606928 (2)
618815		Chromosome 1p36.33 duplication syndrome, ATAD3 gene cluster, 618815 (4), Autosomal dominant
155600		{Melanoma, cutaneous malignant, 1}, 155600 (2), Autosomal dominant
115665		Cataract 8, multiple types, 115665 (2), Autosomal dominant
607872		Chromosome 1p36 deletion syndrome, distal, 607872 (4), Isolated cases
619343		Chromosome 1p36 deletion syndrome, proximal, 619343 (4), Autosomal dominant
608995		{Dyslexia, susceptibility to, 8}, 608995 (2), Autosomal dominant, Multifactorial
131190		
605225		{Inflammatory bowel disease 7}, 605225 (2)
612596		{Multiple sclerosis, susceptibility to, 4}, 612596 (2)
610320		Myopia 14, 610320 (2), Autosomal dominant
605606		{Psoriasis susceptibility 7}, 605606 (2)
604008	PTPRZ2	
154280		
618485	ZBTB40-IT1	
616765	SAMD11	
610770	NOC2L	
619262	KLHL17	
615921	PERM1	
608060	HES4	
147571	ISG15	Immunodeficiency 38, 616126 (3), Autosomal recessive
103320	AGRN	Myasthenic syndrome, congenital, 8, with pre- and postsynaptic defects, 615120 (3), Autosomal recessive
612091	MIR200B	
612090	MIR200A	
612094	MIR429	
603905	TNFRSF18	
600315	TNFRSF4	?Immunodeficiency 16, 615593 (3), Autosomal recessive
614282	SDF4	
615291	B3GALT6	Ehlers-Danlos syndrome, spondylodysplastic type, 2, 615349 (3), Autosomal recessive; Spondyloepimetaphyseal dysplasia with joint laxity, type 1, with or without fractures, 271640 (3), Autosomal recessive; Al-Gazali syndrome, 609465 (3), Autosomal recessive
616593	C1QTNF12	
619756	UBE2J2	
601328	SCNN1D	
611354	INTS11	Neurodevelopmental disorder with motor and language delay, ocular defects, and brain abnormalities, 620428 (3), Autosomal recessive
615467	CPTP	
605865	TAS1R3	
601365	DVL1	Robinow syndrome, autosomal dominant 2, 616331 (3), Autosomal dominant
617293	MXRA8	
609183	AURKAIP1	
613482	CCNL2	
611833	MRPL20	
611901	VWA1	Neuronopathy, distal hereditary motor, autosomal recessive 7, 619216 (3), Autosomal recessive
617227	ATAD3C	
612317	ATAD3B	
612316	ATAD3A	Harel-Yoon syndrome, 617183 (3), Autosomal dominant, Autosomal recessive; Pontocerebellar hypoplasia, hypotonia, and respiratory insufficiency syndrome, neonatal lethal, 618810 (3), Autosomal recessive
616101	TMEM240	Spinocerebellar ataxia 21, 607454 (3), Autosomal dominant
617680	SSU72	
611141	MIB2	
603321	MMP23B	
176873	CDK11B	
619315	SLC35E2B	
603320	MMP23A	
116951	CDK11A	
611616	NADK	
139380	GNB1	Myelodysplastic syndrome, somatic, 614286 (3); Leukemia, acute lymphoblastic, somatic, 613065 (3); Intellectual developmental disorder, autosomal dominant 42, 616973 (3), Autosomal dominant
610171	CALML6	
620187	CFAP74	Ciliary dyskinesia, primary, 49, without situs inversus, 620197 (3), Autosomal recessive
137163	GABRD	{?Generalized epilepsy with febrile seizures plus, type 5, susceptibility to}, 613060 (3), Autosomal dominant
176982	PRKCZ	
615183	FAAP20	
164780	SKI	Shprintzen-Goldberg syndrome, 182212 (3), Autosomal dominant
607671		Dystonia 13, torsion, 607671 (2), Autosomal dominant
606242		Kondoh syndrome, 606242 (2), Autosomal recessive
620048	RER1	
602859	PEX10	Peroxisome biogenesis disorder 6A (Zellweger), 614870 (3), Autosomal recessive; Peroxisome biogenesis disorder 6B, 614871 (3), Autosomal recessive
612836	PLCH2	
606162	PANK4	?Cataract 49, 619593 (3), Autosomal dominant
607348	HES5	
602746	TNFRSF14	
618104	MMEL1	
608535	ACTRT2	
605557	PRDM16	Left ventricular noncompaction 8, 615373 (3), Autosomal dominant; Cardiomyopathy, dilated, 1LL, 615373 (3), Autosomal dominant
618871	ARHGEF16	
604266	MEGF6	
615148	MIR551A	
611460	TPRG1L	
606040	WRAP73	
601990	TP73	Ciliary dyskinesia, primary, 47, and lissencephaly, 619466 (3), Autosomal recessive
615242	SMIM1	[Blood group, Vel system], 615264 (3), Autosomal recessive
619154	LRRC47	
616690	CEP104	Joubert syndrome 25, 616781 (3), Autosomal recessive; Intellectual developmental disorder, autosomal recessive 77, 619988 (3), Autosomal recessive
601883	DFFB	
610972	AJAP1	
614414		Deafness, autosomal recessive 96, 614414 (2), Autosomal recessive
607215	NPHP4	Senior-Loken syndrome 4, 606996 (3), Autosomal recessive; Nephronophthisis 4, 606966 (3), Autosomal recessive
601142	KCNAB2	
610771	CHD5	Parenti-Mignot neurodevelopmental syndrome, 619873 (3), Autosomal dominant
180474	RPL22	
616923	RNF207	
605851	ICMT	
609971	HES3	
614269	GPR153	
602587	ACOT7	
609970	HES2	
606351	ESPN	Deafness, neurosensory, without vestibular involvement, autosomal dominant, 609006 (3), Autosomal recessive; Deafness, autosomal recessive 36, 609006 (3), Autosomal recessive; ?Usher syndrome, type 1M, 618632 (3), Autosomal recessive
603366	TNFRSF25	
611101	PLEKHG5	Neuronopathy, distal hereditary motor, autosomal recessive 4, 611067 (3), Autosomal recessive; Charcot-Marie-Tooth disease, recessive intermediate C, 615376 (3), Autosomal recessive
620304	NOL9	
606225	TAS1R1	
165270	ZBTB48	
616262	KLHL21	
620054	PHF13	
612532	THAP3	
614827	DNAJC11	
611501	CAMTA1	Cerebellar dysfunction with variable cognitive and behavioral abnormalities, 614756 (3), Autosomal dominant
600975		Glaucoma 3, primary infantile, B, 600975 (2), Autosomal recessive
608543		{Schizophrenia 12}, 181500 (2), Autosomal dominant
603657	VAMP3	
