MIM Number,Approved Gene Symbol,Phenotypes,inheritance,recessive,dominant
147571,ISG15,"Immunodeficiency 38, 616126 (3), Autosomal recessive",Autosomal recessive,1,0
103320,AGRN,"Myasthenic syndrome, congenital, 8, with pre- and postsynaptic defects, 615120 (3), Autosomal recessive",Autosomal recessive,1,0
600315,TNFRSF4,"?Immunodeficiency 16, 615593 (3), Autosomal recessive",Autosomal recessive,1,0
615291,B3GALT6,"Ehlers-Danlos syndrome, spondylodysplastic type, 2, 615349 (3), Autosomal recessive; Spondyloepimetaphyseal dysplasia with joint laxity, type 1, with or without fractures, 271640 (3), Autosomal recessive; Al-Gazali syndrome, 609465 (3), Autosomal recessive",Autosomal recessive,1,0
611354,INTS11,"Neurodevelopmental disorder with motor and language delay, ocular defects, and brain abnormalities, 620428 (3), Autosomal recessive",Autosomal recessive,1,0
601365,DVL1,"Robinow syndrome, autosomal dominant 2, 616331 (3), Autosomal dominant",Autosomal dominant,0,1
611901,VWA1,"Neuronopathy, distal hereditary motor, autosomal recessive 7, 619216 (3), Autosomal recessive",Autosomal recessive,1,0
612316,ATAD3A,"Harel-Yoon syndrome, 617183 (3), Autosomal dominant, Autosomal recessive; Pontocerebellar hypoplasia, hypotonia, and respiratory insufficiency syndrome, neonatal lethal, 618810 (3), Autosomal recessive","Autosomal recessive, Autosomal dominant",1,1
616101,TMEM240,"Spinocerebellar ataxia 21, 607454 (3), Autosomal dominant",Autosomal dominant,0,1
139380,GNB1,"Myelodysplastic syndrome, somatic, 614286 (3); Leukemia, acute lymphoblastic, somatic, 613065 (3); Intellectual developmental disorder, autosomal dominant 42, 616973 (3), Autosomal dominant",Autosomal dominant,0,1
620187,CFAP74,"Ciliary dyskinesia, primary, 49, without situs inversus, 620197 (3), Autosomal recessive",Autosomal recessive,1,0
137163,GABRD,"{?Generalized epilepsy with febrile seizures plus, type 5, susceptibility to}, 613060 (3), Autosomal dominant",Autosomal dominant,0,1
164780,SKI,"Shprintzen-Goldberg syndrome, 182212 (3), Autosomal dominant",Autosomal dominant,0,1
602859,PEX10,"Peroxisome biogenesis disorder 6A (Zellweger), 614870 (3), Autosomal recessive; Peroxisome biogenesis disorder 6B, 614871 (3), Autosomal recessive",Autosomal recessive,1,0
606162,PANK4,"?Cataract 49, 619593 (3), Autosomal dominant",Autosomal dominant,0,1
605557,PRDM16,"Left ventricular noncompaction 8, 615373 (3), Autosomal dominant; Cardiomyopathy, dilated, 1LL, 615373 (3), Autosomal dominant",Autosomal dominant,0,1
601990,TP73,"Ciliary dyskinesia, primary, 47, and lissencephaly, 619466 (3), Autosomal recessive",Autosomal recessive,1,0
615242,SMIM1,"[Blood group, Vel system], 615264 (3), Autosomal recessive",Autosomal recessive,1,0
616690,CEP104,"Joubert syndrome 25, 616781 (3), Autosomal recessive; Intellectual developmental disorder, autosomal recessive 77, 619988 (3), Autosomal recessive",Autosomal recessive,1,0
607215,NPHP4,"Senior-Loken syndrome 4, 606996 (3), Autosomal recessive; Nephronophthisis 4, 606966 (3), Autosomal recessive",Autosomal recessive,1,0
610771,CHD5,"Parenti-Mignot neurodevelopmental syndrome, 619873 (3), Autosomal dominant",Autosomal dominant,0,1
606351,ESPN,"Deafness, neurosensory, without vestibular involvement, autosomal dominant, 609006 (3), Autosomal recessive; Deafness, autosomal recessive 36, 609006 (3), Autosomal recessive; ?Usher syndrome, type 1M, 618632 (3), Autosomal recessive",Autosomal recessive,1,0
611101,PLEKHG5,"Neuronopathy, distal hereditary motor, autosomal recessive 4, 611067 (3), Autosomal recessive; Charcot-Marie-Tooth disease, recessive intermediate C, 615376 (3), Autosomal recessive",Autosomal recessive,1,0
611501,CAMTA1,"Cerebellar dysfunction with variable cognitive and behavioral abnormalities, 614756 (3), Autosomal dominant",Autosomal dominant,0,1
603427,PER3,"?Advanced sleep phase syndrome, familial, 3, 616882 (3), Autosomal dominant",Autosomal dominant,0,1
602250,TNFRSF9,"Immunodeficiency 109 with lymphoproliferation, 620282 (3), Autosomal recessive",Autosomal recessive,1,0
602533,PARK7,"Parkinson disease 7, autosomal recessive early-onset, 606324 (3), Autosomal recessive",Autosomal recessive,1,0
605763,SLC45A1,"Intellectual developmental disorder with neuropsychiatric features, 617532 (3), Autosomal recessive",Autosomal recessive,1,0
605226,RERE,"Neurodevelopmental disorder with or without anomalies of the brain, eye, or heart, 616975 (3), Autosomal dominant",Autosomal dominant,0,1
138090,H6PD,"Cortisone reductase deficiency 1, 604931 (3), Autosomal recessive",Autosomal recessive,1,0
602839,PIK3CD,"Immunodeficiency 14A, autosomal dominant, 615513 (3), Autosomal dominant; Immunodeficiency 14B, autosomal recessive, 619281 (3), Autosomal recessive; ?Roifman-Chitayat syndrome, digenic, 613328 (3), Digenic recessive","Autosomal recessive, Autosomal dominant",1,1
608700,NMNAT1,"Spondyloepiphyseal dysplasia, sensorineural hearing loss, intellectual developmental disorder, and Leber congenital amaurosis, 619260 (3), Autosomal recessive; Leber congenital amaurosis 9, 608553 (3), Autosomal recessive",Autosomal recessive,1,0
605995,KIF1B,"{Neuroblastoma, susceptibility to, 1}, 256700 (3), Autosomal dominant, Somatic mutation; Charcot-Marie-Tooth disease, type 2A1, 118210 (3), Autosomal dominant",Autosomal dominant,0,1
601791,PEX14,"Peroxisome biogenesis disorder 13A (Zellweger), 614887 (3), Autosomal recessive",Autosomal recessive,1,0
605078,TARDBP,"Frontotemporal lobar degeneration, TARDBP-related, 612069 (3), Autosomal dominant; Amyotrophic lateral sclerosis 10, with or without FTD, 612069 (3), Autosomal dominant",Autosomal dominant,0,1
605102,MASP2,"MASP2 deficiency, 613791 (3), Autosomal recessive",Autosomal recessive,1,0
601231,MTOR,"Focal cortical dysplasia, type II, somatic, 607341 (3); Smith-Kingsmore syndrome, 616638 (3), Autosomal dominant",Autosomal dominant,0,1
611632,UBIAD1,"Corneal dystrophy, Schnyder type, 121800 (3), Autosomal dominant",Autosomal dominant,0,1
604094,MAD2L2,"?Fanconi anemia, complementation group V, 617243 (3), Autosomal recessive",Autosomal recessive,1,0
607093,MTHFR,"{Vascular disease, susceptibility to} (3); Homocystinuria due to MTHFR deficiency, 236250 (3), Autosomal recessive; {Thromboembolism, susceptibility to}, 188050 (3), Autosomal dominant; {Schizophrenia, susceptibility to}, 181500 (3), Autosomal dominant; {Neural tube defects, susceptibility to}, 601634 (3), Autosomal recessive","Autosomal recessive, Autosomal dominant",1,1
602726,CLCN6,"Neurodegeneration, childhood-onset, hypotonia, respiratory insufficiency and brain imaging abnormalities, 619173 (3), Autosomal dominant",Autosomal dominant,0,1
108780,NPPA,"Atrial standstill 2, 615745 (3), Autosomal recessive; Atrial fibrillation, familial, 6, 612201 (3), Autosomal dominant","Autosomal recessive, Autosomal dominant",1,1
153454,PLOD1,"Ehlers-Danlos syndrome, kyphoscoliotic type, 1, 225400 (3), Autosomal recessive",Autosomal recessive,1,0
