chrom	chromStart	chromEnd	name	score	strand	thickStart	thickEnd	itemRgb	quantile	prediction
chr1	69091	70008	OR4F5	0	.	69091	70008	25,230,25	85.55%	0.005218997
chr1	367640	368634	OR4F29	0	.	367640	368634	25,230,25	87.78%	0.003498461
chr1	367658	368597	OR4F16	0	.	367658	368597	25,230,25	87.9%	0.003432585
chr1	860260	879955	SAMD11	0	.	860260	879955	50,205,50	75.37%	0.017850254
chr1	879584	894689	NOC2L	0	.	879584	894689	125,130,125	45.92%	0.129676597
chr1	895967	901095	KLHL17	0	.	895967	901095	125,130,125	49.52%	0.108280231
chr1	901877	911245	PLEKHN1	0	.	901877	911245	25,230,25	83.27%	0.007235319
chr1	910579	917497	PERM1	0	.	910579	917497	0,255,0	97.53%	0.000651256
chr1	934342	935552	HES4	0	.	934342	935552	25,230,25	86.38%	0.004519204
chr1	948803	949920	ISG15	0	.	948803	949920	25,230,25	87.43%	0.003699962
chr1	955503	991496	AGRN	0	.	955503	991496	50,205,50	71.13%	0.026450221
chr1	1006346	1009687	RNF223	0	.	1006346	1009687	50,205,50	79.37%	0.011810781
chr1	1017198	1051741	C1orf159	0	.	1017198	1051741	25,230,25	87.37%	0.00374564
chr1	1109264	1133315	TTLL10	0	.	1109264	1133315	25,230,25	87.08%	0.003969565
chr1	1138888	1142071	TNFRSF18	0	.	1138888	1142071	25,230,25	89.8%	0.002453095
chr1	1146706	1149518	TNFRSF4	0	.	1146706	1149518	0,255,0	90.53%	0.002166838
chr1	1152288	1167411	SDF4	0	.	1152288	1167411	75,180,75	60.99%	0.055745044
chr1	1167629	1170421	B3GALT6	0	.	1167629	1170421	50,205,50	73.2%	0.021945146
chr1	1177826	1182102	FAM132A	0	.	1177826	1182102	25,230,25	86.15%	0.004757644
chr1	1189289	1209265	UBE2J2	0	.	1189289	1209265	125,130,125	45.21%	0.134409994
chr1	1215816	1227409	SCNN1D	0	.	1215816	1227409	0,255,0	92.82%	0.001490637
chr1	1227756	1244989	ACAP3	0	.	1227756	1244989	50,205,50	73.34%	0.021694685
chr1	1243947	1247057	PUSL1	0	.	1243947	1247057	25,230,25	83.61%	0.006865893
chr1	1246965	1260071	CPSF3L	0	.	1246965	1260071	175,80,175	28.96%	0.282030759
chr1	1260136	1264277	CPTP	0	.	1260136	1264277	50,205,50	74.38%	0.019602601
chr1	1266694	1270686	TAS1R3	0	.	1266694	1270686	25,230,25	83.39%	0.007100428
chr1	1270656	1284730	DVL1	0	.	1270656	1284730	200,55,200	15.75%	0.502065644
chr1	1288069	1297157	MXRA8	0	.	1288069	1297157	50,205,50	70.23%	0.028438146
chr1	1309110	1310875	AURKAIP1	0	.	1309110	1310875	50,205,50	77.3%	0.01477623
chr1	1321091	1334708	CCNL2	0	.	1321091	1334708	75,180,75	64.39%	0.044327918
chr1	1337288	1342693	MRPL20	0	.	1337288	1342693	50,205,50	73.7%	0.020951505
chr1	1353800	1357149	ANKRD65	0	.	1353800	1357149	0,255,0	90.57%	0.002156975
chr1	1361508	1363167	TMEM88B	0	.	1361508	1363167	50,205,50	79.22%	0.012025988
chr1	1370241	1378262	VWA1	0	.	1370241	1378262	50,205,50	78.87%	0.012544196
chr1	1385069	1405538	ATAD3C	0	.	1385069	1405538	25,230,25	83.02%	0.007544174
chr1	1407143	1433228	ATAD3B	0	.	1407143	1433228	25,230,25	84.29%	0.006294034
chr1	1447531	1470067	ATAD3A	0	.	1447531	1470067	75,180,75	65.43%	0.041035671
chr1	1470554	1475833	TMEM240	0	.	1470554	1475833	75,180,75	64.24%	0.044913219
chr1	1477053	1510249	SSU72	0	.	1477053	1510249	75,180,75	69.63%	0.02945874
chr1	1533392	1535476	C1orf233	0	.	1533392	1535476	50,205,50	71.49%	0.025613569
