Gene.refGene	mis_ratio_score
A1BG	1.0
A1CF	0.8275862068965517
A2M	0.8285714285714286
A2ML1	0.627906976744186
A3GALT2	0.5
A4GALT	0.6896551724137931
A4GNT	0.9565217391304348
AAAS	0.34782608695652173
AACS	0.8947368421052632
AADAC	0.9285714285714286
AADACL2	1.0
AADACL3	0.9473684210526315
AADACL4	0.975609756097561
AADAT	1.0
AAGAB	0.6268656716417911
AAK1	0.9523809523809523
AAMDC	0.75
AAMP	1.0
AANAT	0.8518518518518519
AAR2	0.96
AARD	0.8
AARS1	0.6425211665098777
AARS2	0.6375
AARSD1;PTGES3L-AARSD1	1.0
AASDH	0.9714285714285714
AASDHPPT	1.0
AASS	0.7310344827586207
AATF	1.0
AATK	0.986013986013986
ABAT	0.5423728813559322
ABCA1	0.5165631469979296
ABCA10	0.9716981132075472
ABCA12	0.3776744186046512
ABCA13	0.9202733485193622
ABCA2	0.6869565217391305
ABCA2;ABCA2	0.0
ABCA3	0.38848263254113347
ABCA4	0.5294880103694103
ABCA5	0.8297872340425532
ABCA6	0.9557522123893806
ABCA7	0.757679180887372
ABCA8	0.9642857142857143
ABCA9	0.9541284403669725
ABCB1	0.6833333333333333
ABCB10	0.9607843137254902
ABCB11	0.352994555353902
ABCB4	0.4303030303030303
ABCB4;ABCB4	1.0
ABCB5	0.967391304347826
ABCB6	0.782608695652174
ABCB7	0.5873015873015873
ABCB7;ABCB7	1.0
ABCB8	0.9137931034482759
ABCB9	0.953125
ABCC1	0.7711864406779662
ABCC10	0.9716981132075472
ABCC11	0.9541984732824428
ABCC12	0.91
ABCC2	0.35805626598465473
ABCC2;ABCC2	0.0
ABCC3	0.926605504587156
ABCC4	0.8695652173913043
ABCC5	0.9516129032258065
ABCC6	0.5572519083969466
ABCC6;ABCC6	0.0
ABCC8	0.3322072072072072
ABCC8;ABCC8	1.0
ABCC9	0.5348237317282889
ABCC9;ABCC9	1.0
ABCD1	0.5182029434546863
ABCD2	1.0
ABCD3	0.6373626373626373
ABCD4	0.6538461538461539
ABCD4;ABCD4	1.0
ABCE1	0.7272727272727273
ABCF1	0.9791666666666666
ABCF2;ABCF2-H2BE1	1.0
ABCF3	1.0
ABCG1	0.5952380952380952
ABCG2	0.7777777777777778
ABCG4	0.9130434782608695
ABCG5	0.6137667304015296
ABCG8	0.6116666666666667
ABHD1	1.0
ABHD10	1.0
ABHD11	1.0
ABHD11;ABHD11	1.0
ABHD12	0.5766871165644172
ABHD12B	0.9090909090909091
ABHD13	1.0
ABHD14A	1.0
ABHD14A-ACY1;ACY1	0.6504065040650406
ABHD14A-ACY1;ACY1;ACY1	0.0
ABHD14A;ABHD14A-ACY1	1.0
ABHD14B	0.9375
ABHD15	1.0
ABHD16A	0.8431372549019608
ABHD16B	1.0
ABHD17A	0.9545454545454546
ABHD17B	1.0
ABHD17C	1.0
ABHD18	0.8
ABHD2	0.85
ABHD3	0.9473684210526315
ABHD4	1.0
ABHD5	0.5276073619631901
ABHD6	1.0
ABHD8	0.9473684210526315
ABI1	0.8823529411764706
ABI2	1.0
ABI3	0.9285714285714286
ABI3BP	0.9852941176470589
ABITRAM	1.0
ABL1	0.6277777777777778
ABL2	0.9183673469387755
ABLIM1	0.967741935483871
ABLIM2	0.9538461538461539
ABLIM3	0.9152542372881356
ABO	0.0
ABR	0.9
ABRA	1.0
ABRACL	1.0
ABRAXAS1	0.6721804511278195
ABRAXAS2	1.0
ABT1	1.0
ABTB1	1.0
ABTB2	1.0
ACAA1	0.875
ACAA2	1.0
ACACA	0.5783783783783784
ACACB	0.8171641791044776
ACAD10	1.0
ACAD11	0.9038461538461539
ACAD8	0.6763005780346821
ACAD9	0.3368421052631579
ACAD9;CFAP92	0.0
ACADL	0.723404255319149
ACADM	0.4440944881889764
ACADM;ACADM	1.0
ACADS	0.541033434650456
ACADSB	0.541095890410959
ACADVL	0.47101449275362317
ACADVL;ACADVL	0.0
ACAN	0.6352331606217616
ACAP1	1.0
ACAP2	0.9565217391304348
ACAP3	0.9841269841269841
ACAT1	0.3292181069958848
ACAT1;ACAT1	0.0
ACAT2	0.84375
ACBD3	0.967741935483871
ACBD4	1.0
ACBD5	0.6037735849056604
ACBD5;ACBD5	1.0
ACBD6	0.5454545454545454
ACBD7	1.0
ACCS	0.9444444444444444
ACCSL	0.9512195121951219
ACD	0.5808457711442786
ACD;ACD	1.0
ACE	0.5645161290322581
ACE2	0.8125
ACER1	1.0
ACER2	1.0
ACER3	0.6229508196721312
ACHE	0.7941176470588235
ACIN1	0.9772727272727273
ACKR1	0.8636363636363636
ACKR2	1.0
ACKR3	0.9285714285714286
ACKR4	1.0
ACLY	0.8412698412698413
ACMSD	0.8666666666666667
ACO1	0.9122807017543859
ACO2	0.5385996409335727
ACOD1	0.75
ACOT1	0.8780487804878049
ACOT11	0.9583333333333334
ACOT12	0.9791666666666666
ACOT13	1.0
ACOT2	1.0
ACOT4	0.975609756097561
ACOT6	1.0
ACOT7	0.8148148148148148
ACOT8	1.0
ACOT9	0.95
ACOX1	0.35892116182572614
ACOX2	0.6549707602339181
ACOX3	0.8842105263157894
ACOXL	1.0
ACP1	0.6153846153846154
ACP2	0.9117647058823529
ACP3	0.9
ACP4	0.7966101694915254
ACP5	0.5795454545454546
ACP6	0.9696969696969697
ACP7	1.0
ACR	0.90625
ACRBP	0.9666666666666667
ACRV1	1.0
ACSBG1	0.94
ACSBG2	0.9111111111111111
ACSF2	1.0
ACSF3	0.289875173370319
ACSL1	0.9047619047619048
ACSL3	0.875
ACSL4	0.7345132743362832
ACSL4;ACSL4	1.0
ACSL5	0.9555555555555556
ACSL6	0.8064516129032258
ACSM1	0.9555555555555556
ACSM2A	0.9622641509433962
ACSM2B	0.9259259259259259
ACSM3	0.9361702127659575
ACSM3;ERI2	1.0
ACSM4	1.0
ACSM5	0.9583333333333334
ACSM6	1.0
ACSS1	0.9523809523809523
ACSS2	0.8421052631578947
ACSS3	1.0
ACTA1	0.702576112412178
ACTA2	0.5945945945945946
ACTA2-AS1	0.0
ACTA2-AS1;ACTA2	0.0
ACTA2;ACTA2-AS1	0.0
ACTB	0.46987951807228917
ACTBL2	0.9696969696969697
ACTC1	0.5568627450980392
ACTG1	0.4074074074074074
ACTG2	0.8783783783783784
ACTL10	1.0
ACTL6A	0.84375
ACTL6B	0.5462962962962963
ACTL7A	0.9318181818181818
ACTL7B	0.9777777777777777
ACTL8	1.0
ACTL9	0.9487179487179487
ACTN1	0.6765799256505576
ACTN2	0.6323529411764706
ACTN3	0.859504132231405
ACTN4	0.5347826086956522
ACTR10	1.0
ACTR1A	0.8571428571428571
ACTR1B	0.9285714285714286
ACTR2	1.0
ACTR3	0.8571428571428571
ACTR3B	1.0
ACTR3C	0.9545454545454546
ACTR5	1.0
ACTR6	1.0
ACTR8	1.0
ACTRT1	0.9142857142857143
ACTRT2	0.9666666666666667
ACTRT3	0.9666666666666667
ACVR1	0.5727272727272728
ACVR1B	0.8695652173913043
ACVR1C	0.7419354838709677
ACVR2A	1.0
ACVR2B	0.5578947368421052
ACVR2B-AS1	0.0
ACVRL1	0.4854614412136536
ACY3	1.0
ACYP1	1.0
ACYP2	0.8888888888888888
ADA	0.37472283813747226
ADA2	0.626984126984127
ADA2;ADA2	1.0
ADAD1	1.0
ADAD1;ADAD1	1.0
ADAD2	0.9733333333333334
ADAD2;LOC654780	1.0
ADAL	0.875
ADAM10	0.8125
ADAM11	0.9565217391304348
ADAM12	0.9193548387096774
ADAM15	0.975
ADAM17	0.5619834710743802
ADAM18	0.9743589743589743
ADAM19	0.972972972972973
ADAM2	1.0
ADAM20	1.0
ADAM21	1.0
ADAM22	0.7325581395348837
ADAM23	0.8867924528301887
ADAM28	0.9454545454545454
ADAM29	0.8653846153846154
ADAM30	0.9787234042553191
