gene_name,fracCdsCons,fracConsPr
TSPAN6,0.612466125,0.672086721
TNMD,0.691823899,0.938155136
DPM1,0.696040868,0.814814815
SCYL3,0.515239478,0.745524915
C1orf112,0.471506635,0.699843872
FGR,0.677987421,0.748427673
CFH,0.333062771,0.119588745
FUCA2,0.520655271,0.583333333
GCLC,0.707941484,0.857889237
NFYA,0.766283525,0.982758621
STPG1,0.469651741,0.343283582
NIPAL3,0.734643735,0.722358722
LAS1L,0.480272109,0.782312925
ENPP4,0.558737151,0.806167401
SEMA3F,0.777777778,0.761662426
CFTR,0.616250281,0.794733288
ANKIB1,0.718654434,0.971865443
CYP51A1,0.581045752,0.90130719
KRIT1,0.755766621,0.970601538
RAD52,0.45505171,0.272871917
BAD,0.570019724,0.714003945
LAP3,0.640384615,0.646794872
CD99,0.139784946,0.089605735
HS3ST1,0.689393939,0.672077922
AOC1,0.534131206,0.379875887
WNT16,0.686703097,0.893442623
HECW1,0.657125078,0.772453848
MAD1L1,0.611961057,0.536393139
LASP1,0.792620865,0.787531807
SNX11,0.624846248,0.862238622
TMEM176A,0.207627119,0.172316384
M6PR,0.630695444,0.899280576
KLHL13,0.722916667,0.884895833
CYP26B1,0.814165042,0.821312541
ICA1,0.685950413,0.792011019
DBNDD1,0.572327044,0.417190776
ALS2,0.668677121,0.866706876
CASP10,0.23709369,0.05098789
CFLAR,0.41995842,0.478863479
TFPI,0.304918033,0.429508197
NDUFAF7,0.561085973,0.722473605
RBM5,0.763888889,0.952614379
MTMR7,0.696419566,0.778113969
SLC7A2,0.653009611,0.544258978
ARF5,0.856353591,0.955801105
SARM1,0.742988506,0.870344828
POLDIP2,0.757904246,0.848238482
PLXND1,0.731048806,0.640359986
AK2,0.730555556,0.840277778
CD38,0.249169435,0.050941307
FKBP4,0.670289855,0.768115942
KDM1A,0.745724059,0.922082858
RBM6,0.692467378,0.894128114
CAMKK1,0.717391304,0.63372859
RECQL,0.595897436,0.699487179
VPS50,0.727806563,0.929533679
HSPB6,0.697722567,0.772256729
ARHGAP33,0.678201715,0.656018929
NDUFAB1,0.57537155,0.526539278
PDK4,0.684466019,0.836569579
SLC22A16,0.294117647,0.284890427
ZMYND10,0.637188209,0.728647014
ABCB5,0.558558559,0.603073662
ARX,0.748963884,0.815867377
SLC25A13,0.734220907,0.904832347
ST7,0.792387543,0.958477509
CDC27,0.845252525,0.992323232
SLC4A1,0.568347953,0.509137427
CALCR,0.503157895,0.340350877
HCCS,0.541511772,0.607187113
DVL2,0.735866124,0.799638173
PRSS22,0.518867925,0.417190776
UPF1,0.757521597,0.672028597
SKAP2,0.672222222,0.784259259
SLC25A5,0.77703456,0.885172798
MCUB,0.404549951,0.402571711
HOXA11,0.872611465,0.995753715
POLR2J,0.802259887,0.81920904
DHX33,0.690207156,0.774482109
MEOX1,0.682352941,0.624836601
THSD7A,0.646361078,0.720546844
LIG3,0.674917492,0.786138614
RPAP3,0.594594595,0.794794795
ACSM3,0.550255537,0.800681431
REXO5,0.384946237,0.654623656
CIAPIN1,0.612353568,0.668796592
SPPL2B,0.594716133,0.401911186
FAM214B,0.850958565,0.935683364
COPZ2,0.723538705,0.838862559
PRKAR2B,0.759745426,0.945107399
MSL3,0.630268199,0.745210728
CREBBP,0.745122118,0.834356665
TSPOAP1,0.59508432,0.642985289
MPO,0.622877569,0.479892761
PON1,0.524344569,0.442883895
GCFC2,0.475277067,0.566922421
WDR54,0.630845771,0.861691542
CROT,0.572050027,0.748232735
ABCB4,0.639583333,0.7234375
KMT2E,0.692128384,0.93258024
RHBDD2,0.55890411,0.585388128
SOX8,0.679343773,0.391498881
IBTK,0.625553914,0.799359921
ZNF195,0.033862434,0.06031746
MYCBP2,0.735983472,0.942152882
FBXL3,0.748251748,0.937062937
ITGAL,0.475092514,0.406205522
PDK2,0.814542484,0.833333333
ITGA3,0.680291508,0.762040558
ZFX,0.720430108,0.76674938
LAMP2,0.390916464,0.491484185
ITGA2B,0.532371795,0.601923077
ASB4,0.709601874,0.836065574
GDE1,0.659638554,0.764056225
REX1BD,0.437293729,0.570957096
CRLF1,0.75965327,0.788022065
OSBPL7,0.745749308,0.778964017
TMEM98,0.773861968,0.889867841
YBX2,0.757990868,0.80456621
KRT33A,0.719341564,0.516872428
MAP3K14,0.638888889,0.642405063
ABCC8,0.779603877,0.765697429
CACNG3,0.804852321,0.941983122
TMEM132A,0.635416667,0.623697917
AP2B1,0.788165266,0.963585434
TAC1,0.748717949,0.953846154
ZNF263,0.641325536,0.657407407
CX3CL1,0.269681742,0.145728643
SPATA20,0.664591117,0.604400166
CACNA1G,0.779506588,0.807541351
TNFRSF12A,0.630769231,0.735897436
DLX6,0.861678005,0.894557823
MAP3K9,0.765862377,0.851057492
RALA,0.806763285,0.982286634
BAIAP2L1,0.611328125,0.557942708
KDM7A,0.700636943,0.94019816
ETV1,0.815202232,0.963040446
AGK,0.651694247,0.764381403
ALDH3B1,0.638237385,0.476190476
TTC22,0.659649123,0.780701754
PHTF2,0.700169635,0.884223919
CCL26,0.168421053,0
FARP2,0.45971564,0.434439179
USH1C,0.721111111,0.721851852
GGCT,0.601410935,0.804232804
DBF4,0.557530864,0.68345679
TBXA2R,0.550387597,0.276162791
IFRD1,0.668141593,0.925516224
LGALS14,0.066666667,0.04047619
COX10,0.584084084,0.627627628
GTF2IRD1,0.712522046,0.683597884
PAF1,0.748746867,0.837092732
VPS41,0.723586745,0.898245614
ARHGAP44,0.731379731,0.810744811
ELAC2,0.568319226,0.509471987
SCIN,0.640595903,0.660148976
ARSD,0.248597082,0.039842873
PNPLA4,0.36351706,0.32152231
MYH13,0.715832904,0.657899261
ADIPOR2,0.717484927,0.925064599
CDKL3,0.550309162,0.650927487
UPP2,0.433962264,0.149895178
PRSS21,0.312169312,0.166137566
MARK4,0.819831784,0.90084108
PROM1,0.31678214,0.196689761
CCDC124,0.723214286,0.806547619
CEACAM21,0.024943311,0
PAFAH1B1,0.881589619,0.96188159
NOS2,0.619584055,0.558058925
DNAH9,0.607235718,0.518980759
KIAA0100,0.707364341,0.935897436
SLC13A2,0.557616639,0.327150084
GAS7,0.800139762,0.848357792
TRAPPC6A,0.627083333,0.291666667
MATK,0.669291339,0.603018373
CEACAM7,0.038847118,0
CD79B,0.45942029,0.410144928
SCN4A,0.749591726,0.674469243
ST7L,0.713541667,0.793981481
TKTL1,0.372417644,0.150753769
PAX6,0.848970252,0.978642258
RPUSD1,0.596379127,0.340788072
RHBDF1,0.748442368,0.711838006
LUC7L,0.72311828,0.906810036
CACNA2D2,0.780011655,0.87995338
BAIAP3,0.615495808,0.400693842
TSR3,0.485623003,0.307774228
PIGQ,0.620847652,0.403207331
CRAMP1,0.593963255,0.541732283
SELE,0.386252046,0.338788871
DNAJC11,0.748214286,0.866071429
FMO3,0.480925578,0.383364603
MYLIP,0.754857997,0.80044843
NOX1,0.391740413,0.72920354
E2F2,0.659817352,0.684170472
PSMB1,0.614325069,0.727272727
SYN1,0.755429651,0.819169027
JARID2,0.80326116,0.893611334
