Chr	Start	spliceAImax_score
chr10	198006	0.23
chr10	423035	0.01
chr10	3101001	0.07
chr10	3166935	0.97
chr10	4972311	0.97
chr10	4991829	0.99
chr10	5001682	0.99
chr10	5099450	0.99
chr10	5102652	1.0
chr10	5648969	0.99
chr10	5653052	1.0
chr10	5712919	0.99
chr10	5878288	0.68
chr10	5888069	0.97
chr10	5891117	0.37
chr10	7172493	1.0
chr10	7381950	0.98
chr10	7709192	0.99
chr10	7749186	1.0
chr10	7788264	0.98
chr10	7963918	0.99
chr10	11755609	0.99
chr10	12149963	0.79
chr10	12179081	0.94
chr10	12196320	0.99
chr10	13161608	0.99
chr10	13201419	1.0
chr10	13597457	1.0
chr10	14932853	0.99
chr10	15061722	0.9
chr10	15065754	0.49
chr10	15078605	0.93
chr10	16467211	0.62
chr10	16505161	1.0
chr10	16511045	0.94
chr10	16919961	0.95
chr10	16928305	0.57
chr10	17110918	0.84
chr10	17323159	0.99
chr10	17331406	0.99
chr10	17379426	0.61
chr10	17453659	0.96
chr10	17993293	0.05
chr10	18150881	1.0
chr10	18150882	1.0
chr10	18401922	0.99
chr10	18614614	1.0
chr10	19128219	0.99
chr10	19165811	0.95
chr10	19204306	0.99
chr10	19280045	0.98
chr10	19280225	0.99
chr10	19331367	0.88
chr10	19331583	0.97
chr10	20809900	0.05
chr10	20831308	0.99
chr10	20852544	0.7
chr10	20889844	0.79
chr10	21523682	0.99
chr10	21756757	0.98
chr10	22318170	0.06
chr10	22360754	0.55
chr10	22998399	1.0
chr10	23320816	1.0
chr10	24722227	0.31
chr10	24942438	0.97
chr10	25016694	0.74
chr10	26096480	0.93
chr10	26145445	0.93
chr10	26157309	0.91
chr10	26438650	0.81
chr10	26702161	0.99
chr10	27160018	0.16
chr10	27242058	0.96
chr10	27413160	0.95
chr10	27531616	0.57
chr10	27853365	0.02
chr10	27939896	0.99
chr10	27982928	0.18
chr10	28254877	0.23
chr10	29465594	1.0
chr10	29486232	0.99
chr10	29563293	0.96
chr10	29563294	0.96
chr10	30626104	0.99
chr10	30850369	0.84
chr10	30910441	0.5
chr10	30910442	0.5
chr10	31355143	0.29
chr10	32273013	0.88
chr10	32518506	0.85
chr10	32912126	0.97
chr10	32930045	1.0
chr10	35171192	0.13
chr10	35196100	0.04
chr10	35605632	0.99
chr10	37153663	0.99
chr10	37189558	0.99
chr10	37853555	0.0
chr10	37970293	0.59
chr10	38034325	0.29
chr10	38039411	0.06
chr10	38095225	0.72
chr10	38095535	0.79
chr10	42614280	0.55
chr10	43138568	1.0
chr10	43373649	0.98
chr10	45412314	0.99
chr10	45625950	0.52
chr10	45648536	0.98
chr10	45757140	0.99
chr10	45769447	0.97
chr10	45771621	0.17
chr10	45787248	0.96
chr10	45828028	0.99
chr10	45828081	0.99
chr10	45834015	0.97
chr10	46313317	0.28
chr10	47997676	0.99
chr10	48184564	0.89
chr10	48820438	0.82
chr10	48910259	0.0
chr10	48939745	0.0
chr10	49165204	0.46
chr10	49299234	0.91
chr10	49532975	0.65
chr10	49620614	1.0
chr10	49694537	0.85
chr10	49762238	0.98
chr10	49991746	0.99
chr10	50002097	0.97
chr10	50004684	0.99
chr10	50091519	0.99
chr10	50095147	0.87
chr10	50097803	1.0
chr10	50099976	0.94
chr10	50110100	0.85
chr10	50211135	0.95
chr10	50214870	0.98
chr10	56361195	0.91
chr10	59707105	0.32
chr10	59739121	0.41
chr10	60080536	0.93
chr10	62236265	0.02
chr10	62816069	0.03
chr10	66280622	0.99
chr10	66379151	1.0
chr10	66766418	0.99
chr10	68135513	0.69
chr10	69250437	0.68
chr10	69414944	0.96
chr10	69878066	0.95
chr10	69894580	0.82
chr10	69922707	0.99
chr10	70123906	0.98
chr10	70255828	0.93
chr10	70266393	0.97
chr10	70702310	1.0
chr10	70734029	0.95
chr10	70777339	0.3
chr10	71288991	0.98
chr10	71344207	0.98
chr10	71706896	0.99
chr10	72215835	0.84
chr10	72216139	0.72
chr10	72216234	0.23
chr10	72932352	0.98
chr10	73044979	0.79
chr10	73074916	1.0
chr10	73122173	0.91
chr10	73125510	0.24
chr10	73126828	0.73
chr10	73163952	0.08
chr10	73358777	0.96
chr10	73640036	0.97
chr10	73802673	1.0
chr10	74138932	0.21
chr10	75210718	0.84
chr10	75235373	0.97
chr10	76914055	0.11
chr10	76915050	1.0
chr10	77304386	0.06
chr10	77991053	0.98
chr10	77993368	0.99
chr10	78022143	1.0
chr10	78037305	0.01
chr10	78040226	0.94
chr10	79351485	0.98
chr10	79559511	0.63
chr10	79560363	0.77
chr10	79611317	0.29
chr10	79611642	0.55
chr10	80144344	0.99
chr10	80161933	0.22
chr10	80171611	0.04
chr10	80172806	1.0
chr10	80180939	0.15
chr10	80181138	0.0
chr10	80354485	0.54
chr10	80362949	0.99
chr10	84150244	0.99
chr10	84194816	0.99
chr10	84222682	0.9
chr10	84249044	0.46
chr10	84257891	0.98
chr10	86944437	0.49
chr10	86956426	0.0
chr10	87076657	0.04
chr10	87096932	0.92
chr10	87121791	0.11
chr10	87228261	0.98
chr10	87232986	0.99
chr10	87864104	0.0
chr10	87864103	0.0
chr10	88594666	0.25
chr10	88664492	0.94
chr10	88732552	0.61
chr10	88803044	0.99
chr10	89245675	0.99
chr10	89400004	0.65
chr10	89534642	0.68
